Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,BbAvH,BbAvD,BbAvA,HValue,AValue,HAcc,AAcc,HConv,AConv,HCurrentPoints,ACurrentPoints,FTHG_5Avg,FTAG_5Avg,HS_5Avg,AS_5Avg,HST_5Avg,AST_5Avg,HAcc_5Avg,AAcc_5Avg,HConv_5Avg,AConv_5Avg,HRating,ARating,Value_Diff,CurrentPoints_Diff,Rating_Diff,FTG_5Avg_Diff,S_5Avg_Diff,ST_5Avg_Diff,Acc_5Avg_Diff,Conv_5Avg_Diff
2016-2017,2016-12-11,Southampton,Middlesbrough,1,0,H,14,6,3,2,1.69,3.61,5.83,0.2875671669445989,0.0,0.21428556122459913,0.33333277777870374,0.0714285204081997,0.0,17,15,0.4,1.2,13.0,9.8,3.6,2.6,0.21355335889548224,0.31333287708408963,0.022291009211252183,0.15916642774344564,0.44823103200000003,0.0,0.2875671669445989,2,0.44823103200000003,-0.7999999999999999,3.1999999999999993,1.0,-0.09977951818860739,-0.13687541853219345
2016-2017,2016-12-11,Man United,Tottenham,1,0,H,15,12,5,4,2.2,3.32,3.49,0.9235789430341961,0.6524152381801565,0.3333331111112593,0.33333305555578707,0.06666662222225185,0.0,21,27,1.2,2.2,17.0,17.2,5.8,7.0,0.3435768515665356,0.39831142482759824,0.11509792433242602,0.12432892294059698,0.349578226,0.849825768,0.2711637048540396,-6,-0.500247542,-1.0000000000000002,-0.1999999999999993,-1.2000000000000002,-0.054734573261062625,-0.009230998608170962
2016-2017,2016-12-11,Chelsea,West Brom,1,0,H,12,6,2,1,1.27,5.84,12.53,0.8754863813229573,0.0,0.16666652777789354,0.16666638888935187,0.08333326388894677,0.0,34,20,2.6,2.0,13.2,11.6,5.6,3.4,0.43067118805556637,0.2790401671849968,0.19821717065607963,0.15909077866746507,0.152728823,-0.35033764700000003,0.8754863813229573,14,0.50306647,0.6000000000000001,1.5999999999999996,2.1999999999999997,0.15163102087056957,0.03912639198861456
2016-2017,2016-12-11,Liverpool,West Ham,2,2,D,18,7,3,3,1.29,5.9,10.37,0.6112655178803039,0.3936158355810169,0.16666657407412552,0.4285708163274053,0.11111104938275035,0.2857138775516035,30,12,3.0,1.0,19.4,9.8,7.8,2.6,0.377593939217088,0.2718101062272217,0.16473067272670142,0.1119190586145972,0.324947709,0.35134756100000003,0.217649682299287,18,-0.026399852000000057,2.0,9.599999999999998,5.199999999999999,0.10578383298986632,0.05281161411210422
2016-2017,2016-12-13,Bournemouth,Leicester,1,0,H,9,12,3,4,2.41,3.4,3.04,0.13332509830564304,0.3324268295401351,0.3333329629633745,0.33333305555578707,0.11111098765445816,0.0,18,16,1.8,1.8,13.8,10.6,4.8,3.6,0.3551393404352971,0.3533685797689117,0.14373130905550383,0.18812812226801698,-0.548392375,0.799983307,-0.19910173123449204,2,-1.348375682,0.0,3.200000000000001,1.1999999999999997,0.0017707606663854292,-0.04439681321251315
2016-2017,2016-12-13,Everton,Arsenal,2,1,H,14,9,4,3,4.11,3.7,1.91,0.3677145739402549,0.8841309823677581,0.2857140816327988,0.3333329629633745,0.1428570408163994,0.11111098765445816,20,34,0.8,2.6,10.4,15.2,3.4,4.4,0.2661336559536047,0.26657247787666505,0.06603391093776008,0.17203618721966987,0.100197865,0.7246789640000001,-0.5164164084275031,-14,-0.624481099,-1.8,-4.799999999999999,-1.0000000000000004,-0.0004388219230603285,-0.1060022762819098
2016-2017,2016-12-14,Middlesbrough,Liverpool,0,3,A,8,15,3,4,5.99,4.13,1.58,0.0,0.6618443637012105,0.37499953125058594,0.2666664888890074,0.0,0.19999986666675557,15,31,0.8,2.6,9.0,19.6,2.4,6.4,0.31999949263977034,0.2932802644124952,0.11916646774340564,0.13989408675548437,0.0,0.324947709,-0.6618443637012105,-16,-0.324947709,-1.8,-10.600000000000001,-4.0,0.026719228227275127,-0.02072761901207873
2016-2017,2016-12-14,Stoke,Southampton,0,0,D,5,15,3,4,3.15,3.2,2.43,0.0,0.31136176188671677,0.5999988000024,0.2666664888890074,0.0,0.0,19,20,1.0,0.6,12.4,14.0,4.0,4.0,0.32999972357166374,0.2341882736095105,0.08761896963725865,0.036576713292892124,-0.35084001,0.44823103200000003,-0.31136176188671677,-1,-0.799071042,0.4,-1.5999999999999996,0.0,0.09581144996215324,0.05104225634436653
2016-2017,2016-12-14,Sunderland,Chelsea,0,1,A,8,19,3,6,9.49,5.43,1.33,0.0,0.9479280444038252,0.37499953125058594,0.31578930747931183,0.0,0.05263155124655198,11,37,1.4,2.4,11.8,13.0,3.4,4.6,0.28585830757095987,0.3563122687590104,0.11717160993786517,0.18411461633325904,-0.350344046,0.152728823,-0.9479280444038252,-26,-0.503072869,-1.0,-1.1999999999999993,-1.1999999999999997,-0.07045396118805053,-0.06694300639539387
2016-2017,2016-12-14,Tottenham,Hull,3,0,H,27,10,9,5,1.23,6.33,13.83,0.6025569760978322,0.0,0.33333320987658893,0.49999950000050003,0.11111106995886298,0.0,27,12,2.0,1.2,15.2,10.8,6.8,4.2,0.4195235111453579,0.3756858705118562,0.11523801798191742,0.12666650888911185,0.849825768,0.0,0.6025569760978322,15,0.849825768,0.8,4.399999999999999,2.5999999999999996,0.04383764063350171,-0.01142849090719443
